year,title,url,reviews,audience_score,tomatometer,synopsis,rating,genre,original_language,director,producer,writer,release_date_theaters,release_date_streaming,runtime,distributor,aspect_ratio,production_co,split_runtime_hours,split_runtime_mins,runtime_mins
2020,One Night in Miami,/m/one_night_in_miami,335,78,98.0,"On one incredible night in 1964, four icons of sports, music, and activism gathered to celebrate one of the biggest upsets in boxing history. When underdog Cassius Clay, soon to be called Muhammad Ali, (Eli Goree), defeats heavy weight champion Sonny Liston at the Miami Convention Hall, Clay memorialized the event with three of his friends: Malcolm X (Kingsley Ben-Adir), Sam Cooke (Leslie Odom Jr.) and Jim Brown (Aldis Hodge).",R (Language Throughout),Drama,English,Regina King,"Jessica Calder, 



Keith Calder, 



Jody Klein",Kemp Powers,2020-12-25,2021-01-15,1h 50m,Amazon Studios,Scope (2.351),,1.0,50.0,110.0
2020,Portrait of a Lady on Fire (Portrait de la jeune fille en feu),/m/portrait_of_a_lady_on_fire,324,92,97.0,In 1770 the young daughter of a French countess develops a mutual attraction to the female artist commissioned to paint her wedding portrait.,R (Some Nudity and Sexuality),"Lgbtq+, 
                        
                        History, 
                        
                        Romance, 
                        
                        Drama",French (France),Céline Sciamma,"Bénédicte Couvreur, 



Véronique Cayla",Céline Sciamma,2019-12-06,2020-04-03,2h 1m,Neon,Flat (1.851),,2.0,1.0,121.0
2020,Minari,/m/minari,311,87,98.0,"A tender and sweeping story about what roots us, Minari follows a Korean-American family that moves to a tiny Arkansas farm in search of their own American Dream. The family home changes completely with the arrival of their sly, foul-mouthed, but incredibly loving grandmother. Amidst the instability and challenges of this new life in the rugged Ozarks, Minari shows the undeniable resilience of family and what really makes a home.",PG-13 (Some Thematic Elements|A Rude Gesture),Drama,English,Lee Isaac Chung,"Dede Gardner, 



Jeremy Kleiner, 



Christina Oh",Lee Isaac Chung,2021-02-12,2021-02-26,1h 55m,A24,Flat (1.851),,1.0,55.0,115.0
2020,The Invisible Man,/m/the_invisible_man_2020,412,88,92.0,"After staging his own suicide, a crazed scientist uses his power to become invisible to stalk and terrorize his ex-girlfriend. When the police refuse to believe her story, she decides to take matters into her own hands and fight back.",R (Some Strong Bloody Violence|Language),"Horror, 
                        
                        Mystery & thriller",English,Leigh Whannell,"Jason Blum, 



Kylie Du Fresne",Leigh Whannell,2020-02-28,2020-03-20,2h 4m,Universal Pictures,Scope (2.351),,2.0,4.0,124.0
2020,Soul,/m/soul_2020,344,88,95.0,"Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz -- and he's good. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul.",PG (Thematic Elements|Some Language),"Comedy, 
                        
                        Kids & family, 
                        
                        Animation, 
                        
                        Adventure",English,Pete Docter,Dana Leigh Murray,"Pete Docter, 



Mike Jones, 



Kemp Powers",2020-02-28,2020-12-25,1h 40m,Universal Pictures,Scope (2.351),Pixar,1.0,40.0,100.0
2020,Ma Rainey's Black Bottom,/m/ma_raineys_black_bottom,301,72,97.0,"Tensions and temperatures rise over the course of an afternoon recording session in 1920s Chicago as a band of musicians await trailblazing performer, the legendary “Mother of the Blues,” Ma Rainey (Academy Award® winner Viola Davis). Late to the session, the fearless, fiery Ma engages in a battle of wills with her white manager and producer over control of her music. As the band waits in the studio’s claustrophobic rehearsal room, ambitious cornet player Levee (Chadwick Boseman) — who has an eye for Ma’s girlfriend and is determined to stake his own claim on the music industry — spurs his fellow musicians into an eruption of stories revealing truths that will forever change the course of their lives.",R (Some Sexual Content|Language|Brief Violence),"History, 
                        
                        Music, 
                        
                        Drama",English,George C. Wolfe,"Todd Black, 



Denzel Washington, 



Dany Wolf",Ruben Santiago-Hudson,2020-11-25,2020-12-18,1h 34m,Netflix,Scope (2.351),Pixar,1.0,34.0,94.0
2020,1917,/m/1917_2019,461,88,88.0,"During World War I, two British soldiers -- Lance Cpl. Schofield and Lance Cpl. Blake -- receive seemingly impossible orders. In a race against time, they must cross over into enemy territory to deliver a message that could potentially save 1,600 of their fellow comrades -- including Blake's own brother.",R (Some Disturbing Images|Language|Violence),"Drama, 
                        
                        History, 
                        
                        War",English,Sam Mendes,"Sam Mendes, 



Pippa Harris, 



Jayne-Ann Tenggren, 



Callum McDougall, 



Brian Oliver","Sam Mendes, 



Krysty Wilson-Cairns",2020-01-10,2019-12-25,1h 59m,Universal Pictures,Scope (2.351),Pixar,1.0,59.0,119.0
2020,Never Rarely Sometimes Always,/m/never_rarely_sometimes_always,236,54,99.0,"Faced with an unintended pregnancy and a lack of local support, Autumn and her cousin, Skylar, travel across state lines to New York City on a fraught journey of friendship, bravery and compassion.",PG-13 (Language|Disturbing Thematic Content|Mature Thematic Content|Some Sexual References|Teen Drinking),Drama,English,Eliza Hittman,"Lia Buman, 



Rose Garnett, 



Tim Headington, 



Sara Murphy, 



Alex Orlovsky, 



Elika Portnoy, 



Adele Romanski",Eliza Hittman,2020-03-13,2020-04-03,1h 41m,Focus Features,Flat (1.851),Pixar,1.0,41.0,101.0
2020,Sound of Metal,/m/sound_of_metal,275,90,97.0,"During a series of adrenaline-fueled one-night gigs, itinerant punk-metal drummer Ruben (Riz Ahmed) begins to experience intermittent hearing loss. When a specialist tells him his condition will rapidly worsen, he thinks his music career — and with it his life — is over. His bandmate and girlfriend Lou (Olivia Cooke) checks the recovering heroin addict into a secluded sober house for the deaf in hopes it will prevent a relapse and help him learn to adapt to his new situation. But after being welcomed into a community that accepts him just as he is, Ruben has to choose between his equilibrium and the drive to reclaim the life he once knew. Utilizing startling, innovative sound design techniques, director Darius Marder takes audiences inside Ruben’s experience to vividly recreate his journey into a rarely examined world.",R (Language Throughout|Brief Nude Images),Drama,English,Darius Marder,"Sacha Ben Harroche, 



Bert Hamelinck","Darius Marder, 



Abraham Marder",2020-11-20,2020-12-04,2h 0m,Amazon Studios,Scope (2.351),Pixar,2.0,0.0,120.0
2020,Promising Young Woman,/m/promising_young_woman,406,87,90.0,"Nothing in Cassie's life is what it appears to be -- she's wickedly smart, tantalizingly cunning, and she's living a secret double life by night. Now, an unexpected encounter is about to give Cassie a chance to right the wrongs from the past.",R (Language Throughout|Drug Use|Sexual Assault|Some Sexual Material|Strong Violence),"Comedy, 
                        
                        Mystery & thriller",English,Emerald Fennell,"Margot Robbie, 



Josey McNamara, 



Tom Ackerley, 



Ben Browning, 



Ashley Fox, 



Emerald Fennell",Emerald Fennell,2020-12-25,2021-01-15,1h 53m,Focus Features,Scope (2.351),Pixar,1.0,53.0,113.0
2020,Wolfwalkers,/m/wolfwalkers,162,98,99.0,"In a time of superstition and magic, a young apprentice hunter, Robyn Goodfellowe, journeys to Ireland with her father to wipe out the last wolf pack. While exploring the forbidden lands outside the city walls, Robyn befriends a free-spirited girl, Mebh, a member of a mysterious tribe rumored to have the ability to transform into wolves by night. As they search for Mebh's missing mother, Robyn uncovers a secret that draws her further into the enchanted world of the ""Wolfwalkers"" and risks turning into the very thing her father is tasked to destroy.",PG (Scary Images|Peril|Brief Language|Sequences of Violence|Some Thematic Elements),"Fantasy, 
                        
                        Animation, 
                        
                        Adventure",English,"Tomm Moore, 



Ross Stewart","Tomm Moore, 



Stéphan Roelants, 



Nora Twomey, 



Paul Young",Will Collins,2020-11-13,2020-12-11,1h 43m,GKIDS,Flat (1.851),Pixar,1.0,43.0,103.0
2020,Palm Springs,/m/palm_springs_2020,244,88,95.0,"Stuck in a time loop, two wedding guests develop a budding romance while living the same day over and over again.",R (Sexual Content|Language Throughout|Drug Use|Some Violence),"Comedy, 
                        
                        Romance",English,Max Barbakow,"Chris Parker, 



Andy Samberg, 



Akiva Schaffer, 



Dylan Sellers, 



Becky Sloviter, 



Jorma Taccone",Andy Siara,2020-07-10,2020-07-10,1h 30m,Hulu,Scope (2.351),Pixar,1.0,30.0,90.0
2020,Hamilton,/m/hamilton_2020,199,89,98.0,"The original Broadway production of the award-winning musical that tells the story of Alexander Hamilton, first secretary of the treasury, blending hip-hop, jazz, R&B and Broadway styles, filmed from the Richard Rogers Theater in New York.",PG-13 (Language|Some Suggestive Material),Musical,English,Thomas Kail,"Thomas Kail, 



Lin-Manuel Miranda",Ron Chernow,2020-07-10,2020-07-03,2h 40m,Hulu,Flat (1.851),Pixar,2.0,40.0,160.0
